shelter,data_set,lat,lon,type
Deer Park,ATC,35.875884,-82.861367,Log
Manassass Gap,ATC,38.930607,-78.032994,Log
Chatfield Memorial,ATC,36.849816,-81.363234,Log w/siding
Woods Hole Shelter,TNL,34.737240,-83.954950,Shelter
Wintturi Shelter,TNL,43.662180,-72.621930,Shelter
Frye Notch Lean-to,TNL,44.627910,-70.899830,Lean-to
Crampton Gap Shelter,TNL,39.412590,-77.637020,Shelter
Wilson Creek Shelter,TNL,37.419360,-79.785580,Shelter
Tom Floyd Wayside Shelter,TNL,38.850460,-78.163660,Shelter
Hawk Mountain Shelter,TNL,34.666030,-84.136310,Shelter
Davenport Gap Shelter,TNL,35.769300,-83.123400,Shelter
Derrick Knob,ATC,35.566503,-83.641887,Stone/Log
No Business Knob,ATC,36.066531,-82.433801,Other
Stratton Pond Shelter,TNL,43.100500,-72.963550,Shelter
Helvey's Mill,ATC,37.130706,-81.103144,Lumber
Wesser Bald,ATC,35.282497,-83.582451,Log/Lumber
Spruce Peak,ATC,43.178601,-72.995685,Log
Overmountain Shelter,TNL,36.123490,-82.054290,Shelter
Thelma Marks Shelter,TNL,40.363580,-77.067260,Shelter
Little Rock Pond Shelter,TNL,43.404080,-72.953150,Shelter
David Lesser Shelter,TNL,39.227230,-77.779090,Shelter
Mt. Wilcox South Lean-to,TNL,42.207710,-73.268290,Lean-to
Flint Mountain Shelter,TNL,36.034860,-82.596640,Shelter
Fontana Dam Shelter,TNL,35.448490,-83.793980,Shelter
Iron Mountain,ATC,36.435320,-81.991110,Unknown
Brown Mountain Creek Shelter,TNL,37.709440,-79.268310,Shelter
Ensign Cowall Shelter,TNL,39.631020,-77.555660,Shelter
Stan Murray,ATC,36.112270,-82.065860,Unknown
Story Spring,ATC,43.050463,-73.012923,Stick_w/Lumber_sidng
Wesser Bald Shelter,TNL,35.282480,-83.582110,Shelter
Carter Notch Hut,TNL,44.259260,-71.195330,Hut
Goddard,ATC,42.974103,-73.072615,Timber_Frame
West Mountain,ATC,41.282364,-74.009637,Stone
Story Spring Shelter,TNL,43.050350,-73.012430,Shelter
Bobblets Gap Shelter,TNL,37.467120,-79.701210,Shelter
Gravel Springs Hut,TNL,38.763880,-78.233620,Hut
Russell Field,ATC,35.561677,-83.766596,Stone
William Penn Shelter,TNL,40.495590,-76.414090,Shelter
Matts Creek Shelter,TNL,37.599550,-79.413200,Shelter
Spaulding Mountain Lean-to,TNL,44.995770,-70.341340,Lean-to
Mt. Collins Shelter,TNL,35.593840,-83.471290,Shelter
Fire Warden's Cabin,ATC,43.825409,-72.037869,Stick_w/Lumber_sidng
Allentown,ATC,40.683047,-75.874222,Log
Mount Le Conte Shelter,TNL,35.652800,-83.438900,Shelter
Mountaineer Falls,ATC,36.220300,-81.985300,Unknown
Manassas Gap Shelter,TNL,38.930710,-78.032690,Shelter
Lula Tye,ATC,43.395460,-72.955140,Other
Beaver Brook Shelter,TNL,44.033040,-71.811320,Shelter
Little Bigelow Lean-to,TNL,45.139170,-70.191150,Lean-to
Fingerboard Shelter,TNL,41.263270,-74.103990,Shelter
Chestnut Knob Shelter,TNL,37.057730,-81.399340,Shelter
Abingdon Gap Shelter,TNL,36.580940,-81.901890,Shelter
Guyot Campsite Shelter,TNL,44.161040,-71.535040,Shelter
Bryant Ridge,ATC,37.530079,-79.585835,Timber_Frame
Happy Hill Shelter,TNL,43.723990,-72.365240,Shelter
Cable Gap Shelter,TNL,35.415230,-83.773420,Shelter
Cove Mountain Shelter,TNL,37.511630,-79.650710,Shelter
Trapper John Shelter,TNL,43.783100,-72.111510,Shelter
Big Branch Shelter,TNL,43.364130,-72.946400,Shelter
Docs Knob Shelter,TNL,37.270310,-80.836150,Shelter
Muskrat Creek,ATC,35.020610,-83.581558,Log
Gooch Mountain Shelter,TNL,34.655650,-84.049940,Shelter
Jim n Molly Denton Shelter,TNL,38.890070,-78.083060,Shelter
Thistle Hill,ATC,43.695206,-72.475830,Log
Wapiti,ATC,37.223814,-80.824306,Log
Plumorchard Gap,ATC,34.945823,-83.588443,Post_&_Beam
Jenkins Shelter,TNL,37.093400,-81.247620,Shelter
Mt. Wilcox North Lean-to,TNL,42.221080,-73.250180,Lean-to
Garfield Ridge Campsite Shelter,TNL,44.190690,-71.608360,Shelter
Curley Maple Gap Shelter,TNL,36.104330,-82.396840,Shelter
Peters Mountain Shelter,TNL,40.425930,-76.879320,Shelter
Velvet Rocks Shelter,TNL,43.702510,-72.264720,Shelter
Wapiti Shelter,TNL,37.223860,-80.824030,Shelter
Wise,ATC,36.653961,-81.498550,Log/Lumber
PA 501,ATC,40.513165,-76.346835,Other
Hog Back Ridge,ATC,35.963986,-82.587273,Log/Lumber
Lamberts Meadow Shelter,TNL,37.434610,-79.987540,Shelter
Blue Mountain,ATC,34.817199,-83.767008,Stick_w/T1_siding
Hermit Lake Shelter (1 of 2),TNL,44.261090,-71.286300,Shelter
Mark Noepel Lean-to,TNL,42.608620,-73.184150,Lean-to
Wilson Valley Lean-to,TNL,45.398730,-69.459210,Lean-to
Kay Wood Lean-to,TNL,42.452110,-73.161480,Lean-to
Stover Creek,ATC,34.648938,-84.200182,Post_&_Beam
Plumorchard Gap Shelter,TNL,34.945940,-83.588280,Shelter
Poplar Ridge Lean-to,TNL,44.970000,-70.445340,Lean-to
Carter Gap,ATC,34.998915,-83.494233,Log/Lumber
Peters Mountain,ATC,40.425910,-76.879650,Unknown
Imp Campsite,ATC,44.328949,-71.150717,Log/Lumber
Seth Warner Shelter,TNL,42.771930,-73.136940,Shelter
George W. Outerbridge Shelter,TNL,40.782490,-75.617930,Shelter
Antietam,ATC,39.793781,-77.482882,Log/Lumber
Fullhardt Knob,ATC,37.398462,-79.853906,Stick_w/ply_siding
Cloudland Shelter,TNL,43.692140,-72.493120,Shelter
Roaring Fork Shelter,TNL,35.805000,-82.949780,Shelter
Ed Garvey Shelter,TNL,39.359820,-77.661720,Shelter
Muskrat Creek Shelter,TNL,35.020720,-83.581440,Shelter
Tumbling Run,ATC,39.804820,-77.478376,Lumber
Niday Shelter,TNL,37.387650,-80.264030,Shelter
Pierce Pond Lean-to,TNL,45.240250,-70.055480,Lean-to
Little Laurel Shelter,TNL,36.015100,-82.735920,Shelter
Thunder Hill,ATC,37.527397,-79.504141,Stick_w/Lumber_siding
Crampton Gap,ATC,39.412562,-77.637335,Log/Lumber
Spruce Peak Shelter,TNL,43.178580,-72.995200,Shelter
Watauga Lake Shelter,TNL,36.313980,-82.129400,Shelter
Hexacuba,ATC,43.876258,-72.027344,Log
Leeman Brook Lean-to,TNL,45.351510,-69.498770,Lean-to
Long Branch,ATC,35.070010,-83.498087,Stick_w/Lumber_sidng
Crag Camp,TNL,44.334910,-71.302020,Unknown
William Penn,ATC,40.495585,-76.414445,Log/Lumber
Saunders,ATC,36.637683,-81.713643,Timber_Frame
Pecks Corner,ATC,35.650753,-83.308673,Stone/Log
Darlington Shelter,TNL,40.302000,-77.086900,Shelter
Riga Lean-to,TNL,42.015620,-73.451960,Lean-to
Goddard Shelter,TNL,42.974090,-73.071690,Shelter
Pine Knob Shelter,TNL,39.542500,-77.601810,Shelter
Ensign Cowall,ATC,39.630991,-77.555970,Log
Bald Mountain Shelter,TNL,36.000160,-82.478090,Shelter
Walasi-yi Center,ATC,34.735070,-83.917880,Other
Galehead Hut,TNL,44.187770,-71.568850,Hut
Clyde Smith Shelter,TNL,36.148520,-82.161180,Shelter
Morgan Stewart Memorial Shelter,TNL,41.564540,-73.691700,Shelter
Gentian Pond,ATC,44.451839,-71.069942,Log/Lumber
West Carry Pond Lean-to,TNL,45.158030,-70.099770,Lean-to
Tumbling Run Shelters,TNL,39.804840,-77.478060,Shelter
Gren Anderson Shelter,TNL,41.199480,-74.752640,Shelter
Stony Brook,ATC,43.691870,-72.730766,Stick_w/Lumber_sidng
Siler Bald,ATC,35.144110,-83.572580,Stick_w/T1_siding
Overmountain,ATC,36.123507,-82.054410,Other
Rock Gap,ATC,35.091480,-83.523148,Stick_w/ply_siding
Blood Mountain,ATC,34.739910,-83.937520,Stone
Long Pond Stream Lean-to,TNL,45.421100,-69.409600,Lean-to
Eagles Nest,ATC,40.549352,-76.152755,Log
Cherry Gap,ATC,36.129150,-82.264272,Other
Fingerboard,ATC,41.263273,-74.104466,Stone
No Business Knob Shelter,TNL,36.066620,-82.433650,Shelter
Sasafras Gap,ATC,35.330766,-83.666998,Stick_w/ply_siding
Hall Mountain Lean-to,TNL,44.700790,-70.824730,Lean-to
